Term	Notes	English	Chinese (Simplified)	Chinese (Traditional)	Dutch	French	Italian	German	Spanish	Brazilian Portuguese	Polish	Japanese	Korean	Ukrainian	Russian
sausagefestmod_blood_name		Blood	Blood	Blood	Bloed	Blood	Blood	Blood	Blood	Blood	Blood	Blood	Blood	Кров	Blood
sausagefestmod_blood_description		Thicker than water	Thicker than water	Thicker than water	Dikker dan water	Thicker than water	Thicker than water	Thicker than water	Thicker than water	Thicker than water	Thicker than water	Thicker than water	Thicker than water	Густіша води	Thicker than water
sausagefestmod_idea_blood_status		Gilding a blood...	Gilding a blood...	Gilding a blood...	Vergulden van bloed...	Gilding a blood...	Gilding a blood...	Gilding a blood...	Gilding a blood...	Gilding a blood...	Gilding a blood...	Gilding a blood...	Gilding a blood...	Позолочує кров...	Gilding a blood...
sausagefestmod_organ_meat_name		Organ Meat	Organ Meat	Organ Meat	Orgaanvlees	Organ Meat	Organ Meat	Organ Meat	Organ Meat	Organ Meat	Organ Meat	Organ Meat	Organ Meat	М'ясо Органів	Organ Meat
sausagefestmod_organ_meat_description		Nature's chewy, unseasoned gummy bears...	Nature's chewy, unseasoned gummy bears...	Nature's chewy, unseasoned gummy bears...	Natuur's taaie, ongekruide gummybeertjes...	Nature's chewy, unseasoned gummy bears...	Nature's chewy, unseasoned gummy bears...	Nature's chewy, unseasoned gummy bears...	Nature's chewy, unseasoned gummy bears...	Nature's chewy, unseasoned gummy bears...	Nature's chewy, unseasoned gummy bears...	Nature's chewy, unseasoned gummy bears...	Nature's chewy, unseasoned gummy bears...	Жорсткі, неприправлені мармеладні ведмедики від природи...	Nature's chewy, unseasoned gummy bears...
sausagefestmod_idea_organ_meat_status		Creating organ meat...	Creating organ meat...	Creating organ meat...	Orgaanvlees maken...	Creating organ meat...	Creating organ meat...	Creating organ meat...	Creating organ meat...	Creating organ meat...	Creating organ meat...	Creating organ meat...	Creating organ meat...	Створення м'яса...	Creating organ meat...
sausagefestmod_raw_sausage_name		Raw Sausage	Raw Sausage	Raw Sausage	Rauwe worst	Raw Sausage	Raw Sausage	Raw Sausage	Raw Sausage	Raw Sausage	Raw Sausage	Raw Sausage	Raw Sausage	Сира Ковбаса	Raw Sausage
sausagefestmod_raw_sausage_description		The meat smoothie of the butcher world!	The meat smoothie of the butcher world!	The meat smoothie of the butcher world!	De vleessmoothie van de slagerswereld!	The meat smoothie of the butcher world!	The meat smoothie of the butcher world!	The meat smoothie of the butcher world!	The meat smoothie of the butcher world!	The meat smoothie of the butcher world!	The meat smoothie of the butcher world!	The meat smoothie of the butcher world!	The meat smoothie of the butcher world!	М'ясне смузі від світу м'ясників!	The meat smoothie of the butcher world!
sausagefestmod_raw_sausage_status		Grinding sausage...	Grinding sausage...	Grinding sausage...	Worst malen...	Grinding sausage...	Grinding sausage...	Grinding sausage...	Grinding sausage...	Grinding sausage...	Grinding sausage...	Grinding sausage...	Grinding sausage...	Подріблює колбасу...	Grinding sausage...
sausagefestmod_raw_blood_sausage_name		Raw Blood Sausage	Raw Blood Sausage	Raw Blood Sausage	Rauwe bloedworst	Raw Blood Sausage	Raw Blood Sausage	Raw Blood Sausage	Raw Blood Sausage	Raw Blood Sausage	Raw Blood Sausage	Raw Blood Sausage	Raw Blood Sausage	Сира Кров'яна Ковбаса	Raw Blood Sausage
sausagefestmod_raw_blood_sausage_description		The meat smoothie of the butcher world! Extra bloody!	The meat smoothie of the butcher world! Extra bloody!	The meat smoothie of the butcher world! Extra bloody!	De vleessmoothie van de slagerswereld! Extra bloedig!	The meat smoothie of the butcher world! Extra bloody!	The meat smoothie of the butcher world! Extra bloody!	The meat smoothie of the butcher world! Extra bloody!	The meat smoothie of the butcher world! Extra bloody!	The meat smoothie of the butcher world! Extra bloody!	The meat smoothie of the butcher world! Extra bloody!	The meat smoothie of the butcher world! Extra bloody!	The meat smoothie of the butcher world! Extra bloody!	М'ясне смузі від світу м'ясників! Екстра кров'яне!	The meat smoothie of the butcher world! Extra bloody!
sausagefestmod_raw_blood_sausage_status		Grinding blood sausage...	Grinding blood sausage...	Grinding blood sausage...	Bloedworst malen...	Grinding blood sausage...	Grinding blood sausage...	Grinding blood sausage...	Grinding blood sausage...	Grinding blood sausage...	Grinding blood sausage...	Grinding blood sausage...	Grinding blood sausage...	Подріблює кров'яну колбасу...	Grinding blood sausage...
sausagefestmod_cooked_sausage_name		Cooked Sausage	Cooked Sausage	Cooked Sausage	Gebakken worst	Cooked Sausage	Cooked Sausage	Cooked Sausage	Cooked Sausage	Cooked Sausage	Cooked Sausage	Cooked Sausage	Cooked Sausage	Приготована Ковбаса	Cooked Sausage
sausagefestmod_cooked_sausage_description		It starts out looking like a floppy science experiment, but after some heat, it emerges as a juicy, sizzling snack superstar.	It starts out looking like a floppy science experiment, but after some heat, it emerges as a juicy, sizzling snack superstar.	It starts out looking like a floppy science experiment, but after some heat, it emerges as a juicy, sizzling snack superstar.	Het begint met eruit te zien als een slap wetenschappelijk experiment, maar na wat hitte komt het tevoorschijn als een sappige, sissende snacksuperster.	It starts out looking like a floppy science experiment, but after some heat, it emerges as a juicy, sizzling snack superstar.	It starts out looking like a floppy science experiment, but after some heat, it emerges as a juicy, sizzling snack superstar.	It starts out looking like a floppy science experiment, but after some heat, it emerges as a juicy, sizzling snack superstar.	It starts out looking like a floppy science experiment, but after some heat, it emerges as a juicy, sizzling snack superstar.	It starts out looking like a floppy science experiment, but after some heat, it emerges as a juicy, sizzling snack superstar.	It starts out looking like a floppy science experiment, but after some heat, it emerges as a juicy, sizzling snack superstar.	It starts out looking like a floppy science experiment, but after some heat, it emerges as a juicy, sizzling snack superstar.	It starts out looking like a floppy science experiment, but after some heat, it emerges as a juicy, sizzling snack superstar.	Спочатку це виглядає як млявий науковий експеримент, але після нагрівання воно перетворюється на соковиту, шиплячу суперзірку серед закусок.	It starts out looking like a floppy science experiment, but after some heat, it emerges as a juicy, sizzling snack superstar.
sausagefestmod_idea_cooked_sausage_status		Cooking sausage...	Cooking sausage...	Cooking sausage...	Worst bakken...	Cooking sausage...	Cooking sausage...	Cooking sausage...	Cooking sausage...	Cooking sausage...	Cooking sausage...	Cooking sausage...	Cooking sausage...	Приготування ковбаси...	Cooking sausage...
sausagefestmod_cooked_blood_sausage_name		Cooked Blood Sausage	Cooked Blood Sausage	Cooked Blood Sausage	Gebakken bloedworst	Cooked Blood Sausage	Cooked Blood Sausage	Cooked Blood Sausage	Cooked Blood Sausage	Cooked Blood Sausage	Cooked Blood Sausage	Cooked Blood Sausage	Cooked Blood Sausage	Приготована кров'яна ковбаса	Cooked Blood Sausage
sausagefestmod_cooked_blood_sausage_description		The goth cousin of regular sausage—dark, mysterious, and a little intense.	The goth cousin of regular sausage—dark, mysterious, and a little intense.	The goth cousin of regular sausage—dark, mysterious, and a little intense.	De gothneef van de gewone worst – donker, mysterieus en een beetje intens.	The goth cousin of regular sausage—dark, mysterious, and a little intense.	The goth cousin of regular sausage—dark, mysterious, and a little intense.	The goth cousin of regular sausage—dark, mysterious, and a little intense.	The goth cousin of regular sausage—dark, mysterious, and a little intense.	The goth cousin of regular sausage—dark, mysterious, and a little intense.	The goth cousin of regular sausage—dark, mysterious, and a little intense.	The goth cousin of regular sausage—dark, mysterious, and a little intense.	The goth cousin of regular sausage—dark, mysterious, and a little intense.	Готична кузина звичайної ковбаси — темна, загадкова і трохи інтенсивна.	The goth cousin of regular sausage—dark, mysterious, and a little intense.
sausagefestmod_idea_cooked_blood_sausage_status		Cooking blood sausage...	Cooking blood sausage...	Cooking blood sausage...	Bloedworst bakken...	Cooking blood sausage...	Cooking blood sausage...	Cooking blood sausage...	Cooking blood sausage...	Cooking blood sausage...	Cooking blood sausage...	Cooking blood sausage...	Cooking blood sausage...	Приготування кров'яної ковбаси...	Cooking blood sausage...
sausagefestmod_meat_grinder_name		Meat Grinder	Meat Grinder	Meat Grinder	Vleesmolen	Meat Grinder	Meat Grinder	Meat Grinder	Meat Grinder	Meat Grinder	Meat Grinder	Meat Grinder	Meat Grinder	М'ясорубка	Meat Grinder
sausagefestmod_meat_grinder_description		Just feed it chunks of meat, crank the handle, and out comes a pile of delicious potential	Just feed it chunks of meat, crank the handle, and out comes a pile of delicious potential	Just feed it chunks of meat, crank the handle, and out comes a pile of delicious potential	Geef het gewoon stukken vlees, draai aan de hendel, en daar komt een berg heerlijke potentie uit.	Just feed it chunks of meat, crank the handle, and out comes a pile of delicious potential	Just feed it chunks of meat, crank the handle, and out comes a pile of delicious potential	Just feed it chunks of meat, crank the handle, and out comes a pile of delicious potential	Just feed it chunks of meat, crank the handle, and out comes a pile of delicious potential	Just feed it chunks of meat, crank the handle, and out comes a pile of delicious potential	Just feed it chunks of meat, crank the handle, and out comes a pile of delicious potential	Just feed it chunks of meat, crank the handle, and out comes a pile of delicious potential	Just feed it chunks of meat, crank the handle, and out comes a pile of delicious potential	Просто кладіть шматки м'яса, поверніть ручку, і з'являється купа смачних можливостей.	Just feed it chunks of meat, crank the handle, and out comes a pile of delicious potential
sausagefestmod_idea_meat_grinder_status		Building meat grinder...	Building meat grinder...	Building meat grinder...	Vleesmolen bouwen...	Building meat grinder...	Building meat grinder...	Building meat grinder...	Building meat grinder...	Building meat grinder...	Building meat grinder...	Building meat grinder...	Building meat grinder...	Створення м'ясорубки...	Building meat grinder...
sausagefestmod_slaughterhouse_name		Slaughterhouse	Slaughterhouse	Slaughterhouse	Slachthuis	Slaughterhouse	Slaughterhouse	Slaughterhouse	Slaughterhouse	Slaughterhouse	Slaughterhouse	Slaughterhouse	Slaughterhouse	Бійня	Slaughterhouse
sausagefestmod_slaughterhouse_description		Magical meat factory	Magical meat factory	Magical meat factory	Magische vlees fabriek	Magical meat factory	Magical meat factory	Magical meat factory	Magical meat factory	Magical meat factory	Magical meat factory	Magical meat factory	Magical meat factory	Чарівна м'ясна фабрика	Magical meat factory
sausagefestmod_action_slaughtering_status		Slaughtering animal...	Slaughtering animal...	Slaughtering animal...	Dier slachten...	Slaughtering animal...	Slaughtering animal...	Slaughtering animal...	Slaughtering animal...	Slaughtering animal...	Slaughtering animal...	Slaughtering animal...	Slaughtering animal...	Заколоти тварину...	Slaughtering animal...
sausagefestmod_idea_slaughterhouse_status		Building slaughterhouse...	Building slaughterhouse...	Building slaughterhouse...	Slachthuis bouwen...	Building slaughterhouse...	Building slaughterhouse...	Building slaughterhouse...	Building slaughterhouse...	Building slaughterhouse...	Building slaughterhouse...	Building slaughterhouse...	Building slaughterhouse...	Будівництво бійні...	Building slaughterhouse...
sausagefestmod_wurst_beer_name		Wurst Beer	Wurst Beer	Wurst Beer	Worst bier	Wurst Beer	Wurst Beer	Wurst Beer	Wurst Beer	Wurst Beer	Wurst Beer	Wurst Beer	Wurst Beer	Ковбасне пиво	Wurst Beer
sausagefestmod_wurst_beer_description		Rock and Stone!	Rock and Stone!	Rock and Stone!	Rock and Stone!	Rock and Stone!	Rock and Stone!	Rock and Stone!	Rock and Stone!	Rock and Stone!	Rock and Stone!	Rock and Stone!	Rock and Stone!	Rock and Stone!	Rock and Stone!
sausagefestmod_idea_wurst_beer_status		Stirring my wurst...	Stirring my wurst...	Stirring my wurst...	Mijn worst roeren...	Stirring my wurst...	Stirring my wurst...	Stirring my wurst...	Stirring my wurst...	Stirring my wurst...	Stirring my wurst...	Stirring my wurst...	Stirring my wurst...	Перемішую свою ковбасу...	Stirring my wurst...
sausagefestmod_blutwurst_beer_name		Blutwurst Beer	Blutwurst Beer	Blutwurst Beer	Bloedworst bier	Blutwurst Beer	Blutwurst Beer	Blutwurst Beer	Blutwurst Beer	Blutwurst Beer	Blutwurst Beer	Blutwurst Beer	Blutwurst Beer	Кров'яна ковбаса пиво	Blutwurst Beer
sausagefestmod_blutwurst_beer_description		If you don't Rock and Stone, you ain't comin' home!	If you don't Rock and Stone, you ain't comin' home!	If you don't Rock and Stone, you ain't comin' home!	If you don't Rock and Stone, you ain't comin' home!	If you don't Rock and Stone, you ain't comin' home!	If you don't Rock and Stone, you ain't comin' home!	If you don't Rock and Stone, you ain't comin' home!	If you don't Rock and Stone, you ain't comin' home!	If you don't Rock and Stone, you ain't comin' home!	If you don't Rock and Stone, you ain't comin' home!	If you don't Rock and Stone, you ain't comin' home!	If you don't Rock and Stone, you ain't comin' home!	If you don't Rock and Stone, you ain't comin' home!	If you don't Rock and Stone, you ain't comin' home!
sausagefestmod_idea_blutwurst_beer_status		Stirring my blutwurst...	Stirring my blutwurst...	Stirring my blutwurst...	Mijn bloedworst roeren...	Stirring my blutwurst...	Stirring my blutwurst...	Stirring my blutwurst...	Stirring my blutwurst...	Stirring my blutwurst...	Stirring my blutwurst...	Stirring my blutwurst...	Stirring my blutwurst...	Перемішую свою кров'яну ковбасу...	Stirring my blutwurst...
sausagefestmod_delirium_tremens_wild_name		Wild Delirium Tremens	Wild Delirium Tremens	Wild Delirium Tremens	Wilde Delirium Tremens	Wild Delirium Tremens	Wild Delirium Tremens	Wild Delirium Tremens	Wild Delirium Tremens	Wild Delirium Tremens	Wild Delirium Tremens	Wild Delirium Tremens	Wild Delirium Tremens	Дике Delirium Tremens	Wild Delirium Tremens
sausagefestmod_delirium_tremens_tamed_name		Tamed Delirium Tremens	Tamed Delirium Tremens	Tamed Delirium Tremens	Dronken Delirium Tremens	Tamed Delirium Tremens	Tamed Delirium Tremens	Tamed Delirium Tremens	Tamed Delirium Tremens	Tamed Delirium Tremens	Tamed Delirium Tremens	Tamed Delirium Tremens	Tamed Delirium Tremens	Приручена Delirium Tremens	Tamed Delirium Tremens
sausagefestmod_delirium_tremens_description		Why just have the shakes when you can also have a colorful imaginary circus?	Why just have the shakes when you can also have a colorful imaginary circus?	Why just have the shakes when you can also have a colorful imaginary circus?	Waarom alleen de rillingen hebben als je ook een kleurrijk denkbeeldig circus kan hebben?	Why just have the shakes when you can also have a colorful imaginary circus?	Why just have the shakes when you can also have a colorful imaginary circus?	Why just have the shakes when you can also have a colorful imaginary circus?	Why just have the shakes when you can also have a colorful imaginary circus?	Why just have the shakes when you can also have a colorful imaginary circus?	Why just have the shakes when you can also have a colorful imaginary circus?	Why just have the shakes when you can also have a colorful imaginary circus?	Why just have the shakes when you can also have a colorful imaginary circus?	Навіщо просто мати тремтіння, коли можна мати ще й кольоровий уявний цирк?	Why just have the shakes when you can also have a colorful imaginary circus?
sausagefestmod_action_drinking_wurstbeer_status		Drinking Beer	Drinking Beer	Drinking Beer	Bier drinken	Drinking Beer	Drinking Beer	Drinking Beer	Drinking Beer	Drinking Beer	Drinking Beer	Drinking Beer	Drinking Beer	Пити пиво	Drinking Beer
sausagefestmod_potion_healing_name		Potion of Healing	Potion of Healing	Potion of Healing	Genezingsdrank	Potion of Healing	Potion of Healing	Potion of Healing	Potion of Healing	Potion of Healing	Potion of Healing	Potion of Healing	Potion of Healing	Зілля зцілення	Potion of Healing
sausagefestmod_potion_healing_description		Because your reckless decisions aren't going to fix themselves! Now in a convenient bottle—just chug, heal, and pretend you didn’t almost die.	Because your reckless decisions aren't going to fix themselves! Now in a convenient bottle—just chug, heal, and pretend you didn’t almost die.	Because your reckless decisions aren't going to fix themselves! Now in a convenient bottle—just chug, heal, and pretend you didn’t almost die.	Want je roekeloze beslissingen gaan zichzelf niet oplossen! Nu in een handige fles—gewoon opdrinken, genezen en doen alsof je niet bijna dood was.	Because your reckless decisions aren't going to fix themselves! Now in a convenient bottle—just chug, heal, and pretend you didn’t almost die.	Because your reckless decisions aren't going to fix themselves! Now in a convenient bottle—just chug, heal, and pretend you didn’t almost die.	Because your reckless decisions aren't going to fix themselves! Now in a convenient bottle—just chug, heal, and pretend you didn’t almost die.	Because your reckless decisions aren't going to fix themselves! Now in a convenient bottle—just chug, heal, and pretend you didn’t almost die.	Because your reckless decisions aren't going to fix themselves! Now in a convenient bottle—just chug, heal, and pretend you didn’t almost die.	Because your reckless decisions aren't going to fix themselves! Now in a convenient bottle—just chug, heal, and pretend you didn’t almost die.	Because your reckless decisions aren't going to fix themselves! Now in a convenient bottle—just chug, heal, and pretend you didn’t almost die.	Because your reckless decisions aren't going to fix themselves! Now in a convenient bottle—just chug, heal, and pretend you didn’t almost die.	Твої безрозсудні рішення самі себе не виправлять! Тепер у зручній пляшечці — просто випий, зцілися і зроби вигляд, що майже не помер.	Because your reckless decisions aren't going to fix themselves! Now in a convenient bottle—just chug, heal, and pretend you didn’t almost die.
sausagefestmod_idea_potion_healing_status		Creating potion of healing	Creating potion of healing	Brewing potion of healing	Brouwen van genezingsdrank	Creating potion of healing	Creating potion of healing	Creating potion of healing	Creating potion of healing	Creating potion of healing	Creating potion of healing	Creating potion of healing	Creating potion of healing	Створення зілля зцілення	Creating potion of healing